Term	P.value	Genes
RELB 30642670 ChIP-Seq CTB1 Human Placenta Inflammation	0.015791493076942	GBP5;CD274;MMP19;GPR84
TFAP2C 20629094 ChIP-Seq MCF-7 Human	0.0266249487252061	KREMEN1;IL27;KCNK17;GPR84;LRP1B;VSIG10;ETV7;PKIB;LYPD6B;NOS1AP;NRCAM;SRGAP1;MOCS1
POU5F1 16153702 ChIP-ChIP HESCs Human	0.030757998788191	C1QA;NRN1;EIF1AY;ROR1;OTX1;CYYR1;SOX5
SMAD4 21741376 ChIP-Seq HESCs Human	0.0309138622896239	GBP5;PLLP;RFPL2;FAM118A;FN1;ANK2;PARVA;CACNA1E;ETV7;GRIP1;PKIB;LYPD6B;EPSTI1;PRR16;SLAMF8;NRCAM;ROR1;FGF13;ATF3;SOX5
IRF1 21803131 ChIP-Seq MONOCYTES Human	0.0426666626603136	CD274;PKIB;APOL4;EPSTI1;GBP1
PCGF4 22325352 ChIP-Seq 293T-Rex Human	0.0478219574488108	GBP6;C1QB;GBP5;C1QA;C4BPA;CACNA1E;LRP1B;GDF7;FHAD1;COL4A4;LYPD6B;ROR1;OTX1;FCGR1A;GBP1;ATF3;C1QC
TBX4 33478486 ChIP-Seq IMR90 Human Lung	0.0715628000594042	HPN;FBXO39;CACNA1E;SYBU
RXR 22108803 ChIP-Seq LS180 Human	0.0764158178271298	FHAD1;GRIP1;OLAH;EPSTI1;PRR16;XKR3
ESR1 30970003 ChIP-Seq MCF-7 Human BreastCancer	0.077904449065796	FHAD1;PKIB;ANXA3;LYPD6B;HPN;FN1;ANK2;WNT16;SYBU;VSIG10
ETV1 20927104 ChIP-Seq GIST48 Human	0.0808700507255176	GBP6;C1QB;GBP5;C1QA;C4BPA;CACNA1E;GDF7;FHAD1;LYPD6B;COL4A3;ROR1;OTX1;FCGR1A;GBP1;ATF3;C1QC
SMAD4 21741376 ChIP-Seq EPCs Human	0.086192238988134	C1QA;KCNK17;WNT16;CACNA1E;VSIG10;DDO;ARL17B;FHAD1;ETV7;EPSTI1;PRR16;FFAR3;MMP19;SRGAP1;GBP1;ATF3
STAT3 23295773 ChIP-Seq U87 Human	0.0935023512823967	CD274;MOXD1;WDR17;FN1;SLC1A3;C4BPA;ANK2;PARVA;PDCD1LG2;SYN2;LRP1B;MYOM2;GRIP1;PKIB;GRIN3A;PRR16;TMEM119;ROR1;CYYR1;FGF13;SRGAP1;CSMD1;CORIN;SOX5
TP53 16413492 ChIP-PET HCT116 Human	0.115924053556662	WDR17;KCNK17;CACNA1E;ATF3
CTNNB1 20460455 ChIP-Seq HCT116 Human	0.116805812744668	FHAD1;LYPD6B;COL4A3;FN1;NRCAM;ANK2;WNT16;SYN2;C1QC
POU3F2 20337985 ChIP-ChIP 501MEL Human	0.123446249250891	MOXD1;FN1;SLC1A3;WNT16;LRP1B;PKIB;GRIN3A;CASP5;PRR16;SLITRK5;XKR3;CORIN;SOX5
P300 19829295 ChIP-Seq ESCs Human	0.135918053951787	PLEKHG7;ANXA3;RFPL2;ANK2;ZFY;CACNA1E;ARL17B;FHAD1;LYPD6B;EPSTI1;PRR16;SLITRK5;FGF13;CSMD1;SOX5
CBX2 22325352 ChIP-Seq 293T-Rex Human	0.13641734597213	GBP6;C1QB;GBP5;C1QA;C4BPA;CACNA1E;LRP1B;GDF7;FHAD1;COL4A4;LYPD6B;ROR1;OTX1;ATF3;C1QC
SMAD3 21741376 ChIP-Seq HESCs Human	0.142726996218001	GRIP1;LYPD6B;EPSTI1;FN1;NRCAM;ANK2;ROR1;PARVA;FGF13;ATF3
AR 19668381 ChIP-Seq PC3 Human	0.153038019822953	GBP6;EIF1AY;ANXA3;USP9Y;FAM118A;KREMEN1;SLC1A3;ANK2;PARVA;IL27;SYN2;LRP1B;MYOM2;DDO;APOL4;GRIN3A;NOS1AP;EPSTI1;SLITRK5;NRCAM;ROR1;CSMD1;ATF3;SOX5
BACH1 22875853 ChIP-PCR HELA AND SCP4 Human	0.155704691570789	USP9Y;SLC1A3;SLITRK5;ROR1;UTY;PDCD1LG2;FGF13;SYN2;ATF3;MYOM2;SOX5
HTT 18923047 ChIP-ChIP STHdh Human	0.158986741998436	DDX3Y;GBP5;PKIB;USP9Y
SMAD4 21799915 ChIP-Seq A2780 Human	0.163943310655171	NRN1;KREMEN1;SLC1A3;C4BPA;PDCD1LG2;CACNA1E;LRP1B;PKIB;GRIN3A;NOS1AP;SLC26A8;NRCAM;ROR1;CYYR1;SRGAP1;MOCS1;CSMD1;CORIN;SOX5
PITX1 30713093 ChIP-Seq Epithelial Human Tongue SCC	0.173546714701921	GBP6;SLC1A3
SOX2 16153702 ChIP-ChIP HESCs Human	0.185950019678778	C1QA;GRIN3A;SLITRK5;C4BPA;ROR1;OTX1;ATF3;SOX5
SMAD2/3 21741376 ChIP-Seq EPCs Human	0.192789737452595	ANXA3;ANK2;CACNA1E;ARL17B;FHAD1;ETV7;FFAR3;MMP19;SLITRK5;SRGAP1;MOCS1;GBP1;ATF3;C1QC
PHF8 20622853 ChIP-Seq HELA Human	0.197192062012373	GBP6;C1QB;GBP5;C1QA;C4BPA;PARVA;CACNA1E;FHAD1;ROR1;FCGR1A;SRGAP1;GBP1;ATF3;C1QC
NFYA 21822215 ChIP-Seq K562 Human	0.200365855531645	GBP6;C1QB;GBP5;C1QA;C4BPA;PARVA;CACNA1E;FHAD1;GRIP1;ROR1;FCGR1A;GBP1;SOX5;C1QC
