Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
SUZ12 18692474 ChIP-Seq MESCs Mouse	21/1531	0.00187693070687518	0.684165110467512	0	0	2.18142299201902	13.6952297280615	MOXD1;NRN1;PLLP;PARVA;WNT16;CACNA1E;SYN2;LRP1B;COCH;GDF7;GRIP1;PKIB;PRR16;SLITRK5;NRCAM;ROR1;OTX1;FGF13;CSMD1;ATF3;CORIN
SUZ12 18555785 ChIP-Seq MESCs Mouse	14/866	0.0026734263978747	0.684165110467512	0	0	2.51912009692564	14.9242608294086	MOXD1;NRN1;PARVA;CACNA1E;SYN2;COCH;GDF7;PRR16;SLITRK5;ROR1;OTX1;CSMD1;ATF3;CORIN
MTF2 20144788 ChIP-Seq MESCs Mouse	29/2488	0.00301837548735667	0.684165110467512	0	0	1.88294264469408	10.9267849141847	MOXD1;NRN1;HPN;GPR84;CACNA1E;COCH;GRIP1;SLITRK5;NRCAM;OTX1;CSMD1;CORIN;PLLP;FBXO39;PARVA;WNT16;SYN2;LRP1B;GDF7;PKIB;GRIN3A;COL4A4;COL4A3;NOS1AP;PRR16;SLC26A8;ROR1;FGF13;ATF3
SUZ12 18974828 ChIP-Seq MESCs Mouse	20/1564	0.00534021383284185	0.907836351583114	0	0	2.01084570123825	10.5217291851686	MOXD1;NRN1;PLLP;PARVA;WNT16;CACNA1E;SYN2;LRP1B;COCH;GDF7;PKIB;COL4A4;COL4A3;PRR16;SLITRK5;OTX1;FGF13;CSMD1;ATF3;CORIN
SUZ12 18692474 ChIP-Seq MEFs Mouse	14/1019	0.0108280267511026	0.999996156349101	0	0	2.11842400898732	9.58717663336372	MOXD1;NRN1;PLLP;PARVA;CACNA1E;SYN2;COCH;PKIB;PRR16;ROR1;OTX1;FGF13;ATF3;CORIN
RELB 30642670 ChIP-Seq CTB1 Human Placenta Inflammation	4/139	0.015791493076942	0.999996156349101	0	0	4.36196793808734	18.0946813559135	GBP5;CD274;MMP19;GPR84
KLF4 25985364 ChIP-Seq ATHEROSCLEROSIS LESION Mouse	12/865	0.0166761552290928	0.999996156349101	0	0	2.12236922905153	8.68850296183806	GBP6;BTNL9;KDM5D;ANKRD22;USP9Y;SLITRK5;PDCD1LG2;CYYR1;FGF13;CACNA1E;LRP1B;MYOM2
RING1B 27294783 Chip-Seq ESCs Mouse	19/1651	0.0188014048555844	0.999996156349101	0	0	1.78350016477179	7.08731519800105	GBP5;MOXD1;NRN1;FN1;KREMEN1;SLC1A3;GPR84;WNT16;CACNA1E;LRP1B;VSIG10;GDF7;GRIP1;SLITRK5;NRCAM;ROR1;OTX1;CSMD1;ATF3
POU5F1 26923725 Chip-Seq MESODERM Mouse	7/406	0.0227080267504016	0.999996156349101	0	0	2.60653542252578	9.86583253557604	NRN1;ROR1;CSMD1;MYOM2;DDO;COCH;CORIN
TEAD4 26923725 Chip-Seq HEMANGIOBLAST Mouse	7/406	0.0227080267504016	0.999996156349101	0	0	2.60653542252578	9.86583253557604	NRN1;ROR1;CSMD1;MYOM2;DDO;COCH;CORIN
