Description	pvalue	Gene
B cell mediated immunity	1.25543008452751e-05	C4BPA, C1QC, SERPING1, FCGR1A, C1QB, C1QA, IGHV3-35, IGHG4
T cell costimulation	0.0247814802394852	PDCD1LG2, CD274
actin filament-based movement	0.00539409778203927	NOS1AP, FGF13, ANK2, PARVA
actin-mediated cell contraction	0.00264357841581021	NOS1AP, FGF13, ANK2, PARVA
action potential	0.00705098135569755	NOS1AP, FGF13, ANK2, NRCAM
activated T cell proliferation	0.0238266122283727	PDCD1LG2, CD274
acute inflammatory response	0.00231958911701008	FCGR1A, FN1, HP, FFAR3
acute-phase response	0.0238266122283727	FN1, HP
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4.09346762529227e-06	KDM5D, C4BPA, C1QC, SERPING1, FCGR1A, C1QB, C1QA, IL27, CD274, IGHV3-35, IGHG4
astrocyte development	0.0210565158259494	C1QA, ROR1
asymmetric cell division	0.00413216527004687	FGF13, SOX5
biological process involved in interaction with symbiont	0.022802844490167	IFI27, FN1, HPN
brain morphogenesis	0.0159581844714995	OTX1, GDF7
cardiac muscle cell action potential	0.00900721061371474	NOS1AP, FGF13, ANK2
cardiac muscle cell contraction	0.00871716714602699	NOS1AP, FGF13, ANK2
cardiac muscle cell membrane repolarization	0.0175904214716286	NOS1AP, ANK2
cell fate commitment	0.0160068126236562	FGF13, SLAMF8, WNT16, SOX5, GDF7
cell junction disassembly	0.000340630519900937	C1QC, C1QB, C1QA
cell recognition	0.00808241762066872	C4BPA, FCGR1A, FOLR3, NRCAM
cellular response to type II interferon	0.0233033523779645	GBP6, GBP5, GBP1
complement activation	1.14407232705077e-06	C4BPA, C1QC, SERPING1, C1QB, C1QA, IGHG4
complement activation, classical pathway	6.66059668825868e-08	C4BPA, C1QC, SERPING1, C1QB, C1QA, IGHG4
defense response to bacterium	6.90330037439705e-06	FCGR1A, GBP6, HP, GBP5, GBP1, ANXA3, SLAMF8, SIGLEC16, NAIP, IGHG4
defense response to protozoan	0.000340630519900937	BATF2, GBP6, GBP1
dicarboxylic acid transport	0.0140412572335182	SLC26A8, FOLR3, SLC1A3
forebrain morphogenesis	0.00192261592336012	OTX1, GDF7
glomerular basement membrane development	0.00136469984519888	COL4A3, COL4A4
grooming behavior	0.00370943431637583	DDO, SLITRK5
humoral immune response	0.00203792439457758	C4BPA, C1QC, SERPING1, C1QB, C1QA, IGHG4
humoral immune response mediated by circulating immunoglobulin	3.89328244946191e-07	C4BPA, C1QC, SERPING1, C1QB, C1QA, IGHG4
immunoglobulin mediated immune response	1.09315421512956e-05	C4BPA, C1QC, SERPING1, FCGR1A, C1QB, C1QA, IGHV3-35, IGHG4
leukocyte mediated immunity	2.59638048825789e-05	KDM5D, C4BPA, C1QC, SERPING1, FCGR1A, CD177, C1QB, C1QA, ANXA3, IGHV3-35, IGHG4
lymphocyte mediated immunity	0.00011616133990742	KDM5D, C4BPA, C1QC, SERPING1, FCGR1A, C1QB, C1QA, IGHV3-35, IGHG4
midbrain development	0.0111956139007241	OTX1, CASP5, GDF7
myeloid leukocyte activation	0.00774249285089736	BATF2, CD177, FN1, C1QA, ANXA3
myeloid leukocyte mediated immunity	0.0194661681513018	FCGR1A, CD177, ANXA3
negative regulation of activated T cell proliferation	0.00257106412406342	PDCD1LG2, CD274
negative regulation of complement activation	0.00192261592336012	C4BPA, SERPING1
negative regulation of humoral immune response	0.00330818963454757	C4BPA, SERPING1
negative regulation of immune effector process	0.0238098212758697	C4BPA, SERPING1, SLAMF8
negative regulation of interleukin-10 production	0.00656032784382493	PDCD1LG2, CD274
negative regulation of myotube differentiation	0.00292865705792067	TMEM119, BHLHE41
negative regulation of striated muscle cell differentiation	0.0192903688745467	TMEM119, BHLHE41
negative regulation of type II interferon production	0.0210565158259494	PDCD1LG2, CD274
neuroblast division	0.00257106412406342	FGF13, SOX5
neutrophil activation	0.0192903688745467	CD177, ANXA3
neutrophil activation involved in immune response	0.00413216527004687	CD177, ANXA3
neutrophil degranulation	0.0016322243540093	CD177, ANXA3
neutrophil mediated immunity	0.0136401486992465	CD177, ANXA3
