ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006958	complement activation, classical pathway	6/96	42/18888	0.142857142857143	28.1071428571429	12.5698299138294	6.66059668825868e-08	0.000100974645794002	9.60528153990988e-05	722/714/710/713/712/3503	6
GO:0002455	humoral immune response mediated by circulating immunoglobulin	6/96	56/18888	0.107142857142857	21.0803571428571	10.7559265613763	3.89328244946191e-07	0.000295110809669213	0.000280726155566464	722/714/710/713/712/3503	6
GO:0006956	complement activation	6/96	67/18888	0.0895522388059701	17.6194029850746	9.74006998619043	1.14407232705077e-06	0.000578137882602989	0.000549957574757739	722/714/710/713/712/3503	6
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	11/96	385/18888	0.0285714285714286	5.62142857142857	6.54811261935393	4.09346762529227e-06	0.00155142422998577	0.00147580280175011	8284/722/714/710/2209/713/712/246778/29126/28432/3503	11
GO:0042742	defense response to bacterium	10/96	330/18888	0.0303030303030303	5.96212121212121	6.49964083184105	6.90330037439705e-06	0.00209308067351718	0.00199105716061557	2209/163351/3240/115362/2633/306/56833/400709/4671/3503	10
GO:0016064	immunoglobulin mediated immune response	8/96	208/18888	0.0384615384615385	7.56730769230769	6.80708542386147	1.09315421512956e-05	0.00271890286877672	0.00258637476060554	722/714/710/2209/713/712/28432/3503	8
GO:0019724	B cell mediated immunity	8/96	212/18888	0.0377358490566038	7.42452830188679	6.7235377758133	1.25543008452751e-05	0.00271890286877672	0.00258637476060554	722/714/710/2209/713/712/28432/3503	8
GO:0002443	leukocyte mediated immunity	11/96	469/18888	0.023454157782516	4.61460554371002	5.66558699529994	2.59638048825789e-05	0.0049201410252487	0.00468031745909646	8284/722/714/710/2209/57126/713/712/306/28432/3503	11
GO:0070269	pyroptosis	4/96	37/18888	0.108108108108108	21.2702702702703	8.82112161076641	3.63899319690906e-05	0.0061296818739046	0.00583090137984259	3429/115362/2633/4671	4
GO:0098883	synapse pruning	3/96	14/18888	0.214285714285714	42.1607142857143	11.0114763405871	4.44709476856476e-05	0.00674179566914417	0.00641317877150918	714/713/712	3
GO:0002449	lymphocyte mediated immunity	9/96	372/18888	0.0241935483870968	4.76008064516129	5.23510803321288	0.00011616133990742	0.0160091446636044	0.0152288072414512	8284/722/714/710/2209/713/712/28432/3503	9
GO:0042832	defense response to protozoan	3/96	27/18888	0.111111111111111	21.8611111111111	7.75296039746895	0.000340630519900937	0.0397227590899862	0.0377865435031809	116071/163351/2633	3
GO:0150146	cell junction disassembly	3/96	27/18888	0.111111111111111	21.8611111111111	7.75296039746895	0.000340630519900937	0.0397227590899862	0.0377865435031809	714/713/712	3
GO:0098901	regulation of cardiac muscle cell action potential	3/96	29/18888	0.103448275862069	20.3534482758621	7.45467354526389	0.000422404591972879	0.0457403829593489	0.0435108489475823	9722/2258/287	3
GO:0001562	response to protozoan	3/96	30/18888	0.1	19.675	7.3165109506084	0.00046761435135412	0.0472602237768564	0.0449566078143961	116071/163351/2633	3
GO:0032836	glomerular basement membrane development	2/96	11/18888	0.181818181818182	35.7727272727273	8.24516239416235	0.00136469984519888	0.123493190902677	0.117473733881869	1285/1286	2
GO:0007605	sensory perception of sound	5/96	161/18888	0.031055900621118	6.11024844720497	4.65426870171495	0.00138481810378991	0.123493190902677	0.117473733881869	3249/6507/1285/1690/4919	5
GO:0043312	neutrophil degranulation	2/96	12/18888	0.166666666666667	32.7916666666667	7.87371226015033	0.0016322243540093	0.137469562259894	0.130768851753961	57126/306	2
GO:0045916	negative regulation of complement activation	2/96	13/18888	0.153846153846154	30.2692307692308	7.54518876849069	0.00192261592336012	0.140431517371801	0.133586431606282	722/710	2
GO:0048853	forebrain morphogenesis	2/96	13/18888	0.153846153846154	30.2692307692308	7.54518876849069	0.00192261592336012	0.140431517371801	0.133586431606282	5013/151449	2
GO:2001259	positive regulation of cation channel activity	3/96	49/18888	0.0612244897959184	12.0459183673469	5.53352085507294	0.00197898885564534	0.140431517371801	0.133586431606282	9722/2258/287	3
GO:0006959	humoral immune response	6/96	258/18888	0.0232558139534884	4.57558139534884	4.13314554838516	0.00203792439457758	0.140431517371801	0.133586431606282	722/714/710/713/712/3503	6
GO:0002526	acute inflammatory response	4/96	109/18888	0.036697247706422	7.22018348623853	4.65490496404864	0.00231958911701008	0.148432032532158	0.141196975815204	2209/2335/3240/2865	4
GO:0050954	sensory perception of mechanical stimulus	5/96	185/18888	0.027027027027027	5.31756756756757	4.21793589370752	0.00254275258128487	0.148432032532158	0.141196975815204	3249/6507/1285/1690/4919	5
GO:0046007	negative regulation of activated T cell proliferation	2/96	15/18888	0.133333333333333	26.2333333333333	6.98763785871573	0.00257106412406342	0.148432032532158	0.141196975815204	80380/29126	2
GO:0055057	neuroblast division	2/96	15/18888	0.133333333333333	26.2333333333333	6.98763785871573	0.00257106412406342	0.148432032532158	0.141196975815204	2258/6660	2
GO:0070252	actin-mediated cell contraction	4/96	113/18888	0.0353982300884956	6.9646017699115	4.54528695773795	0.00264357841581021	0.148432032532158	0.141196975815204	9722/2258/287/55742	4
GO:0010832	negative regulation of myotube differentiation	2/96	16/18888	0.125	24.59375	6.7480548733003	0.00292865705792067	0.158565860707419	0.150836848471854	338773/79365	2
GO:0002921	negative regulation of humoral immune response	2/96	17/18888	0.117647058823529	23.1470588235294	6.52940590001464	0.00330818963454757	0.170115021764763	0.161823066114238	722/710	2
GO:0098900	regulation of action potential	3/96	59/18888	0.0508474576271186	10.0042372881356	4.95096566280877	0.00336639225128159	0.170115021764763	0.161823066114238	9722/2258/287	3
GO:0002697	regulation of immune effector process	7/96	385/18888	0.0181818181818182	3.57727272727273	3.65174356979286	0.00348957345880948	0.170409164352296	0.162102871241942	722/710/2209/57126/246778/2865/56833	7
GO:0050808	synapse organization	8/96	493/18888	0.0162271805273834	3.19269776876268	3.52600515602143	0.00362911042355285	0.170409164352296	0.162102871241942	714/9722/713/712/2258/55638/26050/4897	8
