category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	5/45	78/8541	0.0641025641025641	12.1666666666667	7.21002255948651	5.1246336368507e-05	0.00402394134570822	0.00346559541735636	722/714/710/713/712	5
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	5/45	88/8541	0.0568181818181818	10.7840909090909	6.71404613676527	9.14532124024596e-05	0.00402394134570822	0.00346559541735636	722/714/710/713/712	5
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	4/45	102/8541	0.0392156862745098	7.44313725490196	4.76408954491193	0.00196206932477932	0.05755403352686	0.0495680671523196	714/2209/713/712	4
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	4/45	141/8541	0.0283687943262411	5.38439716312057	3.82039037050441	0.00627727519411156	0.125194933075815	0.107823387338022	714/2209/713/712	4
NA	NA	hsa04820	Cytoskeleton in muscle cells	5/45	232/8541	0.021551724137931	4.09051724137931	3.4731914568597	0.00714122000006829	0.125194933075815	0.107823387338022	9172/2335/287/1285/1286	5
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecules	4/45	158/8541	0.0253164556962025	4.80506329113924	3.51332750519917	0.009320600478023	0.125194933075815	0.107823387338022	80380/29126/26050/4897	4
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	3/45	89/8541	0.0337078651685393	6.39775280898876	3.72525658935454	0.0113214177285702	0.125194933075815	0.107823387338022	2335/1285/1286	3
Human Diseases	Cancer: specific types	hsa05222	Small cell lung cancer	3/45	93/8541	0.032258064516129	6.12258064516129	3.61477496912008	0.0127495191013063	0.125194933075815	0.107823387338022	2335/1285/1286	3
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	3/45	101/8541	0.0297029702970297	5.63762376237624	3.41203059354209	0.0159036824943975	0.125194933075815	0.107823387338022	2335/1285/1286	3
Human Diseases	Infectious disease: parasitic	hsa05142	Chagas disease	3/45	103/8541	0.029126213592233	5.52815533980583	3.36471364401628	0.0167549335540139	0.125194933075815	0.107823387338022	714/713/712	3
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	3/45	103/8541	0.029126213592233	5.52815533980583	3.36471364401628	0.0167549335540139	0.125194933075815	0.107823387338022	2335/1285/1286	3
Organismal Systems	Immune system	hsa04621	NOD-like receptor signaling pathway	4/45	189/8541	0.0211640211640212	4.01693121693122	3.05231259269399	0.0170720363285202	0.125194933075815	0.107823387338022	115362/2633/838/4671	4
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	4/45	203/8541	0.0197044334975369	3.73990147783251	2.87527878888278	0.0215949204007603	0.146180999635916	0.125897511648157	2335/1285/1286/55742	4
Human Diseases	Infectious disease: viral	hsa05171	Coronavirus disease - COVID-19	4/45	238/8541	0.0168067226890756	3.18991596638655	2.49359747734723	0.0359050128483726	0.225688652189771	0.194373001885927	6192/714/713/712	4
