ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-977606	Regulation of Complement cascade	5/56	47/11091	3.56908889049795e-06	0.000781630467019052	0.00071381777809959	722/714/710/713/712	5
R-HSA-166658	Complement cascade	5/56	58/11091	1.02210721150155e-05	0.00111920739659419	0.00102210721150154	722/714/710/713/712	5
R-HSA-166786	Creation of C4 and C2 activators	3/56	14/11091	4.26686345849069e-05	0.0031148103246982	0.00284457563899379	714/713/712	3
R-HSA-166663	Initial triggering of complement	3/56	23/11091	0.000201013027665205	0.01100546326467	0.0100506513832603	714/713/712	3
R-HSA-877300	Interferon gamma signaling	4/56	96/11091	0.00137203394246407	0.0600950866799261	0.0548813576985626	2209/163351/115362/2633	4
R-HSA-2214320	Anchoring fibril formation	2/56	15/11091	0.00252067360621132	0.092004586626713	0.0840224535403772	1285/1286	2
R-HSA-3000171	Non-integrin membrane-ECM interactions	3/56	59/11091	0.00324507163453956	0.0953257964482981	0.0870555218705919	2335/1285/1286	3
R-HSA-2243919	Crosslinking of collagen fibrils	2/56	18/11091	0.00363749521067683	0.0953257964482981	0.0870555218705919	1285/1286	2
R-HSA-1442490	Collagen degradation	3/56	64/11091	0.00408566294581808	0.0953257964482981	0.0870555218705919	4327/1285/1286	3
R-HSA-112316	Neuronal System	7/56	410/11091	0.00435277609352959	0.0953257964482981	0.0870555218705919	777/6854/6507/116443/89822/23426/26050	7
R-HSA-1474228	Degradation of the extracellular matrix	4/56	140/11091	0.00537551891701396	0.107021694802369	0.0977367075820719	2335/4327/1285/1286	4
R-HSA-389948	PD-1 signaling	2/56	23/11091	0.0059185334431446	0.108013235337389	0.0986422240524101	80380/29126	2
R-HSA-3000178	ECM proteoglycans	3/56	76/11091	0.00660633339686493	0.111291308762571	0.101635898413307	2335/1285/1286	3
R-HSA-216083	Integrin cell surface interactions	3/56	85/11091	0.00899053499339569	0.139282038617915	0.127198208783484	2335/1285/1286	3
R-HSA-3000157	Laminin interactions	2/56	30/11091	0.0099489926217629	0.139282038617915	0.127198208783484	1285/1286	2
R-HSA-445095	Interaction between L1 and Ankyrins	2/56	31/11091	0.0106009368455454	0.139282038617915	0.127198208783484	287/4897	2
R-HSA-913531	Interferon Signaling	5/56	269/11091	0.0112785133527707	0.139282038617915	0.127198208783484	3429/2209/163351/115362/2633	5
R-HSA-112315	Transmission across Chemical Synapses	5/56	270/11091	0.0114478387905136	0.139282038617915	0.127198208783484	777/6854/6507/116443/23426	5
R-HSA-140877	Formation of Fibrin Clot (Clotting Cascade)	2/56	39/11091	0.0164641353570217	0.189770823325672	0.17330668796865	710/57126	2
R-HSA-419037	NCAM1 interactions	2/56	42/11091	0.0189471170884143	0.207470932118136	0.189471170884143	1285/1286	2
R-HSA-8948216	Collagen chain trimerization	2/56	44/11091	0.020684568970564	0.215710504978738	0.196995894957752	1285/1286	2
R-HSA-3214842	HDMs demethylate histones	2/56	50/11091	0.0262754135531184	0.25956814341639	0.237048532800356	7404/8284	2
R-HSA-112310	Neurotransmitter release cycle	2/56	51/11091	0.0272605812720409	0.25956814341639	0.237048532800356	6854/6507	2
R-HSA-5576891	Cardiac conduction	3/56	132/11091	0.0288998463476368	0.263711097922186	0.240832052896974	10699/2258/89822	3
R-HSA-186797	Signaling by PDGF	2/56	58/11091	0.0345614676125148	0.30275845628563	0.276491740900119	1285/1286	2
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	2/56	61/11091	0.0378981932801733	0.319219397244537	0.291524563693641	1285/1286	2
R-HSA-375165	NCAM signaling for neurite out-growth	2/56	63/11091	0.0401887297514969	0.325975252428808	0.297694294455532	1285/1286	2
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	2/56	67/11091	0.0449227334196872	0.340906090038113	0.311329762591884	1285/1286	2
R-HSA-388841	Costimulation by the CD28 family	2/56	69/11091	0.0473637655735561	0.340906090038113	0.311329762591884	80380/29126	2
R-HSA-9020956	Interleukin-27 signaling	1/56	11/11091	0.0541832126931974	0.340906090038113	0.311329762591884	246778	1
