Protein1	Protein2	combined_score
RPS4Y1	KDM5D	999
ZFY	USP9Y	999
KDM5D	USP9Y	999
KDM5D	DDX3Y	999
USP9Y	DDX3Y	999
RPS4Y1	EIF1AY	999
KDM5D	EIF1AY	999
USP9Y	EIF1AY	999
DDX3Y	EIF1AY	999
C1QB	C1QC	999
C1QB	C1QA	999
C1QC	C1QA	999
KDM5D	UTY	999
USP9Y	UTY	999
DDX3Y	UTY	999
CD274	PDCD1LG2	996
COL4A3	COL4A4	995
SERPING1	C1QB	980
ZFY	DDX3Y	973
SERPING1	C1QA	973
ZFY	KDM5D	971
ZFY	EIF1AY	965
RPS4Y1	DDX3Y	963
EIF1AY	UTY	963
ZFY	UTY	960
SERPING1	C1QC	959
MYOM2	FN1	958
RPS4Y1	USP9Y	957
ZFY	RPS4Y1	950
NOS1AP	C1orf226	943
RPS4Y1	UTY	943
ANK2	NRCAM	938
GBP5	GBP1	908
CASP5	NAIP	899
BATF2	ETV7	866
NOS1AP	SYN2	839
FFAR3	GPR84	834
BATF2	GBP5	806
EPSTI1	GBP1	780
FN1	FGF13	770
FCGR1A	CD274	712
EPSTI1	IFI27	711
BATF2	ANKRD22	710
C1QA	TMEM119	705
C1QB	FN1	698
EPSTI1	GBP5	698
BATF2	GBP1	662
FN1	CD274	650
FN1	HP	646
SERPING1	HP	645
GBP1	IFI27	645
ETV7	GBP5	612
LRP1B	CSMD1	593
SERPING1	GBP1	592
ETV7	ANKRD22	574
GBP5	ANKRD22	573
ANK2	CACNA1E	569
SLAMF8	C1QB	568
ETV7	GBP1	564
FCGR1A	C1QA	554
GBP1	CD274	545
SERPING1	C4BPA	535
SLAMF8	C1QA	531
GBP5	CD274	521
HP	C4BPA	519
BATF2	CD274	515
C1QB	FCGR1A	511
FN1	FCGR1A	503
FCGR1A	PDCD1LG2	496
ANOS1	FN1	489
FCGR1A	GBP5	489
C1QB	C4BPA	482
FN1	ANK2	481
PARVA	ANK2	480
PARVA	FN1	478
SLAMF8	C1QC	478
FCGR1A	ANKRD22	477
BHLHE41	FN1	461
