from	to	combined_score	Protein1	Protein2
9606.ENSP00000155093	9606.ENSP00000250784	950	ZFY	RPS4Y1
9606.ENSP00000155093	9606.ENSP00000250784	950	ZFY	RPS4Y1
9606.ENSP00000216361	9606.ENSP00000250784	308	COCH	RPS4Y1
9606.ENSP00000216361	9606.ENSP00000250784	308	COCH	RPS4Y1
9606.ENSP00000216361	9606.ENSP00000262626	155	COCH	HPN
9606.ENSP00000216361	9606.ENSP00000262626	155	COCH	HPN
9606.ENSP00000219207	9606.ENSP00000265113	176	PLLP	SLC1A3
9606.ENSP00000219207	9606.ENSP00000265113	176	PLLP	SLC1A3
9606.ENSP00000222462	9606.ENSP00000272224	209	WNT16	GDF7
9606.ENSP00000222462	9606.ENSP00000272224	209	WNT16	GDF7
9606.ENSP00000222462	9606.ENSP00000273857	203	WNT16	CORIN
9606.ENSP00000222462	9606.ENSP00000273857	203	WNT16	CORIN
9606.ENSP00000262626	9606.ENSP00000273857	400	HPN	CORIN
9606.ENSP00000262626	9606.ENSP00000273857	400	HPN	CORIN
9606.ENSP00000262113	9606.ENSP00000278407	167	MYOM2	SERPING1
9606.ENSP00000262113	9606.ENSP00000278407	167	MYOM2	SERPING1
9606.ENSP00000262626	9606.ENSP00000278407	153	HPN	SERPING1
9606.ENSP00000262626	9606.ENSP00000278407	153	HPN	SERPING1
9606.ENSP00000265113	9606.ENSP00000289707	355	SLC1A3	SLAMF8
9606.ENSP00000265113	9606.ENSP00000289707	355	SLC1A3	SLAMF8
9606.ENSP00000278407	9606.ENSP00000289707	150	SERPING1	SLAMF8
9606.ENSP00000278407	9606.ENSP00000289707	150	SERPING1	SLAMF8
9606.ENSP00000278407	9606.ENSP00000301887	455	SERPING1	BATF2
9606.ENSP00000278407	9606.ENSP00000301887	455	SERPING1	BATF2
9606.ENSP00000289707	9606.ENSP00000301887	339	SLAMF8	BATF2
9606.ENSP00000289707	9606.ENSP00000301887	339	SLAMF8	BATF2
9606.ENSP00000216361	9606.ENSP00000313437	187	COCH	MMP19
9606.ENSP00000216361	9606.ENSP00000313437	187	COCH	MMP19
9606.ENSP00000262626	9606.ENSP00000313437	217	HPN	MMP19
9606.ENSP00000262626	9606.ENSP00000313437	217	HPN	MMP19
